HouseID,City,Street,CrimeRate,NumRooms,SquareFootage,Location,EmploymentRate,DrainageCondition,Price
1,Springfield,MapleAvenue,0.5,3,1500,Suburban,95,Good,5000
2,Rivertown,OakStreet,2.3,2,1200,Urban,85,Fair,7000
3,Springfield,PineLane,1.1,4,2000,Suburban,92,Good,4500
4,Rivertown,ElmRoad,3,3,1600,Urban,80,Poor,3500
5,GreenValley,CedarDrive,0.7,5,2500,Rural,90,Good,5000
6,Rivertown,BirchBoulevard,1.8,2,1100,Urban,78,Poor,4000
7,Springfield,WillowWay,0.3,4,2200,Suburban,96,Good,5500
8,Rivertown,CherryStreet,2.5,3,1400,Urban,82,Fair,3500
9,GreenValley,SpruceAvenue,0.9,5,2400,Rural,88,Good,4500
10,Springfield,HickoryLane,1.4,3,1800,Suburban,94,Fair,6500
